ID_Conocimiento,Nombre_Conocimiento
1,Gerencia y administración
2,Servicios de oficina y administrativos
3,Economía
4,Mercadotecnia y publicidad
5,Servicio al cliente
6,Gestión del talento humano y de personal
7,Producción y procesamiento
8,Procesamiento de alimentos
9,"Computadoras, electrónica y automatización"
10,Ingeniería y tecnología
11,Diseño
12,Construcción e ingeniería civil
13,Mecánica y metalistería
14,Matemáticas
15,Física
16,Química
17,Biología
18,Sicología / psicología
19,"Sociología, antropología y estudios culturales"
20,Geografía y Territorio
20,Geografía y territorio
21,Medicina
22,Educación y capacitación
23,Idioma extranjero
24,Bellas artes
25,Historia y arqueología
26,Filosofía y ética
27,Seguridad pública
28,Leyes y gobierno
29,Telecomunicación
30,"Periodismo, comunicación y reportajes"
31,Servicios de transporte
32,Contabilidad e impuestos
32,Contabilidad e Impuestos
33,"Gestión financiera, administración bancaria y seguros"
34,Herramientas de simulación y diseño
35,Interpretación de planos
36,Manejo de las TIC
37,Manipulación de alimentos
38,Mantenimiento
39,Tanatopraxia
40,Anatomía
41,Primeros auxilios
42,"Atención, protección y servicios a la infancia, adolescencia y juventud"
43,Patrimonio cultural
44,Patrimonio natural
45,Gestión del Riesgo de desastres
45,Gestión del riesgo de desastres
46,Armonía y composición
47,Ejecución instrumental
48,Instrumentos musicales
49,Atención integral en salud
49,Atención Integral en Salud
50,Servicio a la persona y humanización
51,Medicina y terapia alternativa y complementaria y partería tradicional
51,Medicina y Terapia alternativa y complementaria y partería tradicional
52,Adquisición del lenguaje
53,Arquitectura y urbanismo
54,Artesanías
55,"Atención a adultos, adultos mayores con o sin discapacidad"
56,"Bibliotecología, información y archivología"
57,Bioquímica
58,Ciencias de la tierra
59,Ciencias del medio ambiente
59,Ciencias del Medio Ambiente
60,Ciencias políticas y educación cívica
61,Deportes
62,Derecho
63,Desarrollo y análisis de software y aplicaciones
64,"Diseño industrial, de moda e interiores"
65,Diseño y administración de redes y bases de datos
66,Educación militar y de defensa
67,Electricidad y energía
68,Enfermería
69,Estadística
70,Farmacia
71,"Fisioterapia, fonoaudiología, terapia ocupacional, nutrición y afines"
72,"Horticultura (técnicas de huertas, invernaderos, viveros y jardines)"
73,"Hotelería, restaurantes y servicios de banquetes"
74,Ingeniería y procesos químicos
75,Instrumentación quirúrgica
76,Literatura y lingüística
77,"Materiales (vidrio, papel, plástico y madera)"
78,Medio Ambiente natural y Vida silvestre
78,Medio ambiente natural y vida silvestre
79,Minería y Extracción
79,Minería y extracción
80,Música y Artes Escénicas
80,Música y artes escénicas
81,Odontología y estudios dentales
82,Peluquería y tratamientos de belleza
83,Acuicultura y pesca
84,"Productos textiles (ropa, calzado y artículos de cuero)"
85,Seguridad y salud en el trabajo
86,Saneamiento de la comunidad
87,Servicios domésticos
88,Servicios funerarios
89,Silvicultura y producción forestal
90,Técnicas audiovisuales y producción para medios de comunicación
90,Técnicas Audiovisuales y Producción para Medios de Comunicación
91,Tecnología de diagnóstico y tratamiento médico
91,Tecnología de Diagnóstico y Tratamiento Médico
92,Tecnologías de Protección y Gestión del medio ambiente
92,Tecnologías de protección y gestión del medio ambiente
93,Trabajo social
94,"Mecánica e ingeniería de vehículos, barcos y aeronaves de motor"
95,Ventas al por mayor y al por menor
96,Veterinaria
97,"Viajes, turismo y actividades recreativas"
98,Producción agrícola y pecuaria
99,Religión y teología
100,Cadena de suministro
101,Principios éticos
102,Metodología e investigación
103,Moda y belleza
104,Técnicas somáticas y de manejo corporal
