ID,Codigo_MEN,Cualificacion,Nivel_MNC,Titulo_Otorga,Sector,Area_Cualificacion,Sigla_Area
1,2-AGRO-AYP-001,Marinero de cubierta,2,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
2,2-AGRO-AYP-002,Patrón de pesca artesanal,2,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
3,3-AGRO-AYP-003,Patrón de pesca,3,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
4,4-AGRO-AYP-004,Actividades de gestión de la acuicultura,4,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
5,4-AGRO-AYP-005,Oficial de pesca,4,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
6,5-AGRO-AYP-006,Oficial de pesca de altura,5,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
7,5-AGRO-AYP-007,Capitán de pesca de altura,5,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
8,6-AGRO-AYP-008,Gestión de la producción y extracción de especies acuáticas,6,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
9,7-AGRO-AYP-009,Investigación en acuicultura y pesca,7,,Acuicultura y Pesca,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
10,3-AGRO-AGR-001,Producción Agricola,3,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
11,5-AGRO-AGR-002,Soporte a  actividades  productivas  agrícolas,5,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
12,6-AGRO-AGR-003,Gestión de la producción agrícola,6,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
13,6-AGRO-AGR-004,Agroecología,6,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
14,7-AGRO-AGR-005,Ciencias agrícolas,7,,Agrícola,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
15,2-AGRO-AGR-FOR-001,Apoyo en labores de producción agrícola y forestal,2,,Agrícola y forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
16,3-AGRO–FOR-001,Producción y cosecha forestal y agroforestal.,3,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
17,5-AGRO–FOR-002,Soporte en el desarrollo de proyectos forestales y agroforestales,5,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
18,6-AGRO-FOR-003,Gestión de proyectos forestales,6,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
19,7-AGVE-FOR-4,Agroforestería,7,,Forestal,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
20,2-AGRO-PEC-001,Apoyo en labores auxiliares pecuarias,2,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
21,3-AGRO-PEC-002,Producción pecuaria,3,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
22,4-AGRO-PEC-003,Asistencia veterinaria,4,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
23,5-AGRO-PEC-004,"Soporte a la producción, asistencia técnica y extensión pecuaria",5,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
24,6-AGRO-PEC-005,Veterinaria,6,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
25,6-AGRO-PEC-006,Gestión de producción pecuaria. ,6,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
26,7-AGRO-PEC-007,Genética y mejoramiento animal,6,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
27,7-AGRO-PEC-008,Salud y produccion pecuaria ,7,,Pecuario,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
28,7-Transversal-AGRO-002,Dirección agropecuaria,7,,Transversales,"Agropecuario, Silvicultura, Pesca, Acuicultura y Veterinaria",AGVE
29,4-ALYG-EDI-003,Impresión Flexográfica,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
30,4-ALYG-EDI-004,Impresión serigráfica ,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
31,4-ALYG-EDI-005,Impresión en offset,4,,Cultura- Artes gráficas,Artes literarias y gráficas,ALYG
