ID_Destreza,Nombre_Destreza
1,Comprensión de lectura
2,Escucha activa
3,Redacción de textos
4,Comunicación asertiva
5,Lógica matemática
6,Pensamiento crítico
7,Aprendizaje aplicado
8,Estrategias para el aprendizaje
9,Evaluación y control de actividades
10,Relaciones interpersonales
11,Trabajo en equipo
12,Persuasión
13,Conciliación
14,Transmisión de conocimiento
15,Orientación al servicio
15,Orientación al Servicio
16,Resolución de problemas complejos
17,Análisis de necesidades
18,Diseño de tecnología
19,Selección de equipo
21,Programación
22,Análisis de control de calidad
23,Vigilancia de las operaciones
24,Mantenimiento de equipos
25,Manejo de imprevistos
26,Reparación
27,Análisis de procesos
28,Criterio y toma de decisiones
29,Gestión del tiempo
30,Gestión de recursos financieros
31,Gestión de recursos materiales
32,Gestión del Talento Humano y de Personal
33,Liderazgo
34,Trabajo bajo presión
35,Flexibilidad y adaptabilidad
36,Ensamble
37,Proactividad
38,Seguir instrucciones
39,Creatividad
40,Interpretación
41,Pensamiento sistémico
