ID_NBC,NBC,Area_Conocimiento,CINE_Campo_Amplio,CINE_Campo_Especifico,Total_Programas
1,Administración,"Economía, administración, contaduría y afines",Administración de Empresas y Derecho,Educación comercial y administración,7014
2,Educación,Ciencias de la educación,Arte y Humanidades,Idiomas,3416
3,Derecho y afines,Ciencias sociales y humanas,Administración de Empresas y Derecho,Derecho,2067
4,"Ingeniería de sistemas, telemática y afines","Ingeniería, arquitectura, urbanismo y afines","Ciencias Naturales, Matemáticas y Estadística",Medio ambiente,2000
5,Contaduría pública,"Economía, administración, contaduría y afines",Administración de Empresas y Derecho,Educación comercial y administración,1245
6,Sin clasificar,Sin información,Salud y Bienestar,Salud,1239
7,Medicina,Ciencias de la salud,Salud y Bienestar,Salud,1083
8,Ingeniería industrial y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Ingeniería y profesiones afines,908
9,"Ingeniería electrónica, telecomunicaciones y afines","Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Ingeniería y profesiones afines,753
10,Diseño,Bellas artes,Arte y Humanidades,Artes,680
11,Economía,"Economía, administración, contaduría y afines","Ciencias Sociales, Periodismo e Información",Ciencias sociales y del comportamiento,667
12,"Ingeniería ambiental, sanitaria y afines","Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Ingeniería y profesiones afines,559
13,Psicología,Ciencias sociales y humanas,"Ciencias Sociales, Periodismo e Información",Ciencias sociales y del comportamiento,529
14,Ingeniería civil y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Arquitectura y construcción,521
15,"Comunicación social, periodismo y afines",Ciencias sociales y humanas,Arte y Humanidades,Programas y certificaciones interdisciplinarios relativos a artes y humanidades,511
16,Ingeniería mecánica y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Ingeniería y profesiones afines,483
17,"Sociología, trabajo social y afines",Ciencias sociales y humanas,"Ciencias Sociales, Periodismo e Información",Ciencias sociales y del comportamiento,460
18,Agronomía,"Agronomía, veterinaria y afines","Agropecuario, Silvicultura, Pesca y Veterinaria",Agropecuario,454
19,Salud pública,Ciencias de la salud,Salud y Bienestar,Salud,401
20,"Biología, microbiología y afines",Matemáticas y ciencias naturales,"Ciencias Naturales, Matemáticas y Estadística",Ciencias biológicas y afines,315
21,"Ingeniería agroindustrial, alimentos y afines","Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Industria y procesamiento,298
22,Arquitectura y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Arquitectura y construcción,294
23,"Ciencia política, relaciones internacionales",Ciencias sociales y humanas,"Ciencias Sociales, Periodismo e Información",Ciencias sociales y del comportamiento,262
24,Ingeniería eléctrica y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",Ingeniería y profesiones afines,253
25,Odontología,Ciencias de la salud,Salud y Bienestar,Salud,238
26,"Matemáticas, estadística y afines",Matemáticas y ciencias naturales,"Ciencias Naturales, Matemáticas y Estadística",Matemáticas y estadística,235
27,Terapias,Ciencias de la salud,Salud y Bienestar,Salud,221
28,"Artes plásticas, visuales y afines",Bellas artes,Arte y Humanidades,Artes,219
29,Publicidad y afines,Bellas artes,Administración de Empresas y Derecho,Educación comercial y administración,217
30,Enfermería,Ciencias de la salud,Salud y Bienestar,Salud,200
