ID,CINE_F_Campo_Detallado,Area_Desempeno_SIET
1,Gestión y administración,VENTAS Y SERVICIOS
2,Mercadotecnia y publicidad,VENTAS Y SERVICIOS
3,Ventas al por mayor y al por menor,VENTAS Y SERVICIOS
4,"Viajes, turismo y actividades recreativas",VENTAS Y SERVICIOS
5,"Hotelería, restaurantes y servicios de banquetes",VENTAS Y SERVICIOS
6,Servicios de transporte,VENTAS Y SERVICIOS
7,Servicios domésticos,VENTAS Y SERVICIOS
8,Peluquería y tratamientos de belleza,VENTAS Y SERVICIOS
9,Secretariado y trabajo de oficina,VENTAS Y SERVICIOS
10,Contabilidad e impuestos,FINANZAS Y ADMINISTRACIÓN
11,"Gestión financiera, administración bancaria y seguros",FINANZAS Y ADMINISTRACIÓN
12,Economía,FINANZAS Y ADMINISTRACIÓN
13,Derecho,FINANZAS Y ADMINISTRACIÓN
14,Educación comercial y administración no clasificados en otra parte,FINANZAS Y ADMINISTRACIÓN
15,Ciencias políticas y educación cívica,FINANZAS Y ADMINISTRACIÓN
16,Programas y certificaciones interdisciplinarios relativos a administración de empresas y derecho,FINANZAS Y ADMINISTRACIÓN
17,Mecánica y profesiones afines a la metalistería,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
18,Electricidad y energía,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
19,"Vehículos, barcos y aeronaves de motor","OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
20,Construcción e ingeniería civil,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
21,Arquitectura y urbanismo,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
22,Ingeniería y profesiones afines no clasificadas en otra parte,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
23,Electrónica y automatización,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
24,Desarrollo y análisis de software y aplicaciones,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
25,Diseño y administración de redes y bases de datos,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
26,Tecnologías de la información y la comunicación (TIC) no clasificada en otra parte,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
27,Uso de computadores,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
28,Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC),CIENCIAS NATURALES APLICADAS Y RELACIONADAS
