CINE_F_SNIES,CODIGO_CINE_F,COD_CAMPO_AMPLIO,CAMPO_AMPLIO,MATCH
Gestión y administración,413.0,4.0,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,AUTO
Historia y arqueología,222.0,2.0,ARTES Y HUMANIDADES,AUTO
Arquitectura y urbanismo,731.0,7.0,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN",AUTO
Bellas artes,213.0,2.0,ARTES Y HUMANIDADES,AUTO
Biología,511.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
Ciencias políticas y educación cívica,312.0,3.0,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",AUTO
Matemáticas,541.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
Técnicas audiovisuales y producción para medios de comunicación,211.0,2.0,ARTES Y HUMANIDADES,AUTO
Contabilidad e impuestos,411.0,4.0,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,AUTO
Derecho,421.0,4.0,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,AUTO
"Diseño industrial, de moda e interiores",212.0,2.0,ARTES Y HUMANIDADES,AUTO
Artes no clasificadas en otra parte,219.0,2.0,ARTES Y HUMANIDADES,AUTO
Producción agrícola y ganadera,811.0,8.0,"AGROPECUARIO, SILVICULTURA, PESCA Y VETERINARIA",AUTO
"Sociología, Antropología y estudios culturales",314.0,3.0,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",AUTO
Procesamiento de alimentos,721.0,7.0,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN",AUTO
Ciencias físicas no clasificadas en otra parte,539.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
"Programas y certificaciones interdisciplinarios relativos a ciencias naturales, matemáticas y estadística",588.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
Estadística,542.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
Física,533.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
Química,531.0,5.0,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",AUTO
"Programas y certificaciones interdisciplinarias relativos a agropecuario, silvicultura, pesca y veterinaria",888.0,8.0,"AGROPECUARIO, SILVICULTURA, PESCA Y VETERINARIA",MATCH_MANUAL
Veterinaria,841.0,8.0,"AGROPECUARIO, SILVICULTURA, PESCA Y VETERINARIA",AUTO
Medicina,912.0,9.0,SALUD Y BIENESTAR,AUTO
Economía,311.0,3.0,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",AUTO
