Codigo_CUOC,Nombre_Ocupacion,Sigla_Area,Area_Cualificacion
1100,Oficiales de las Fuerzas Militares,SEGU,Seguridad
2100,Suboficiales de las Fuerzas Militares,SEGU,Seguridad
3100,Otros miembros de las Fuerzas Militares,SEGU,Seguridad
11110,Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas,AFDE,"Administración, Finanzas Y Derecho"
11120,Directores del gobierno / Directoras del gobierno,AFDE,"Administración, Finanzas Y Derecho"
11130,Jefes de comunidades étnicas / Jefas de comunidades étnicas,AFDE,"Administración, Finanzas Y Derecho"
11140,"Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)",AFDE,"Administración, Finanzas Y Derecho"
11200,Directores y gerentes generales / Directoras y gerentas generales,AFDE,"Administración, Finanzas Y Derecho"
12111,Directores y gerentes financieros / Directoras y gerentas financieras,AFDE,"Administración, Finanzas Y Derecho"
12112,"Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero",AFDE,"Administración, Finanzas Y Derecho"
12113,"Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones",AFDE,"Administración, Finanzas Y Derecho"
12120,Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano,AFDE,"Administración, Finanzas Y Derecho"
12130,Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación,AFDE,"Administración, Finanzas Y Derecho"
12191,Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento,AFDE,"Administración, Finanzas Y Derecho"
12199,Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones,AFDE,"Administración, Finanzas Y Derecho"
12211,Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo,AFDE,"Administración, Finanzas Y Derecho"
12212,Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior,AFDE,"Administración, Finanzas Y Derecho"
12220,Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas,AFDE,"Administración, Finanzas Y Derecho"
12230,"Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo",AFDE,"Administración, Finanzas Y Derecho"
13110,Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura,AFDE,"Administración, Finanzas Y Derecho"
13120,"Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca",AFDE,"Administración, Finanzas Y Derecho"
13210,Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras,AFDE,"Administración, Finanzas Y Derecho"
13220,Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura),AFDE,"Administración, Finanzas Y Derecho"
13230,Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción,AFDE,"Administración, Finanzas Y Derecho"
13241,Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones,AFDE,"Administración, Finanzas Y Derecho"
13242,Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería,AFDE,"Administración, Finanzas Y Derecho"
13243,"Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística",AFDE,"Administración, Finanzas Y Derecho"
13244,Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro,AFDE,"Administración, Finanzas Y Derecho"
13301,Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones,AFDE,"Administración, Finanzas Y Derecho"
13302,Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos,AFDE,"Administración, Finanzas Y Derecho"
13303,Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales,AFDE,"Administración, Finanzas Y Derecho"
13410,Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles,AFDE,"Administración, Finanzas Y Derecho"
13420,Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud,AFDE,"Administración, Finanzas Y Derecho"
13430,Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores,AFDE,"Administración, Finanzas Y Derecho"
