Area_Cualificacion_CUOC,Seccion_CIIU,Nombre_Seccion_CIIU
"Administración, Finanzas Y Derecho",K,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES"
"Administración, Finanzas Y Derecho",M,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
"Administración, Finanzas Y Derecho",N,ACTIVIDADES DE ALQUILER Y ARRENDAMIENTO
"Administración, Finanzas Y Derecho",O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
Tecnologías De La Información Y Las Comunicaciones,J,ACTIVIDADES DE EDICIÓN
Tecnologías De La Información Y Las Comunicaciones,M,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
Salud Y Bienestar,Q,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
Educación Y Formación,P,EDUCACIÓN
"Agropecuario, Silvicultura, Pesca, Acuicultura Y Veterinaria",A,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
Construcción E Infraestructura,F,CONSTRUCCIÓN DE EDIFICIOS
"Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación",C,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
"Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación",S,ACTIVIDADES DE ASOCIACIONES
Producción De Energía Y Electricidad,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
Producción De Energía Y Electricidad,E,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA"
Electrónica Y Automatización,C,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
Electrónica Y Automatización,J,ACTIVIDADES DE EDICIÓN
Industria Química,C,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
"Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas",B,EXTRACCIÓN DE CARBÓN DE PIEDRA Y LIGNITO
"Textil, Cuero, Confección Y Diseño De Modas",C,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
Transformación De La Madera Y Fabricación De Muebles,C,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
Elaboración Y Transformación De Alimentos,C,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
Elaboración Y Transformación De Alimentos,I,ALOJAMIENTO
Logística Y Transporte,H,TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS
"Comercio, Mercadeo Y Publicidad",G,"COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, PIEZAS Y ACCESORIOS"
"Comercio, Mercadeo Y Publicidad",M,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
"Turismo, Hotelería Y Gastronomía",I,ALOJAMIENTO
Servicios Personales Y A La Comunidad,S,ACTIVIDADES DE ASOCIACIONES
Servicios Personales Y A La Comunidad,T,ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMÉSTICO
Seguridad,N,ACTIVIDADES DE ALQUILER Y ARRENDAMIENTO
Seguridad,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
"Artes Visuales, Plásticas Y Del Patrimonio Cultural",R,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
"Audiovisuales, Artes Escénicas Y Música",J,ACTIVIDADES DE EDICIÓN
"Audiovisuales, Artes Escénicas Y Música",R,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
Literatura Y Artes Gráficas,J,ACTIVIDADES DE EDICIÓN
Literatura Y Artes Gráficas,R,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
"Ciencias Naturales, Matemáticas Y Estadística",M,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
Ciencias Sociales Y Humanidades,M,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
Ciencias Sociales Y Humanidades,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
"Conservación, Protección Y Saneamiento Ambiental",E,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA"
"Conservación, Protección Y Saneamiento Ambiental",M,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
"Actividades Físicas, Deportivas Y Recreativas",R,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
