Codigo_CUOC,Nombre_Ocupacion,Nivel_Competencia
1100,Oficiales de las Fuerzas Militares,4
2100,Suboficiales de las Fuerzas Militares,3
3100,Otros miembros de las Fuerzas Militares,1
11110,Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas,4
11120,Directores del gobierno / Directoras del gobierno,4
11130,Jefes de comunidades étnicas / Jefas de comunidades étnicas,4
11140,"Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)",4
11200,Directores y gerentes generales / Directoras y gerentas generales,4
12111,Directores y gerentes financieros / Directoras y gerentas financieras,4
12112,"Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero",4
12113,"Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones",4
12120,Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano,4
12130,Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación,4
12191,Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento,4
12199,Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones,4
12211,Directores y gerentes de ventas y mercadeo / Directoras y gerentas de ventas y mercadeo,4
12212,Directores y gerentes de comercio exterior / Directoras y gerentas de comercio exterior,4
12220,Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas,4
12230,"Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo",4
13110,Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura,4
13120,"Directores y gerentes de producción acuícola, piscícola y de pesca / Directoras y gerentas de producción acuícola, piscícola y de pesca",4
13210,Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras,4
13220,Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura),4
13230,Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción,4
13241,Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones,4
13242,Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería,4
13243,"Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística",4
13244,Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro,4
13301,Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones,4
13302,Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos,4
13303,Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales,4
13410,Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles,4
13420,Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud,4
13430,Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores,4
13440,"Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional",4
13451,Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa,4
13452,Directores y administradores de instituciones de educación y formación / Directoras y administradoras de instituciones de educación y formación,4
