ID_NBC,NBC,Area_Conocimiento,CINE_Campo_Amplio,Total_Programas_SNIES,Areas_Cualificacion_CUOC,N_Areas_CUOC,Codigos_CUOC,N_Ocupaciones_CUOC
1,Administración,"Economía, administración, contaduría y afines",Administración de Empresas y Derecho,7014,"Administración, Finanzas Y Derecho|Comercio, Mercadeo Y Publicidad",2,52230|26120|34320|93210|24111|24112|33330|14391|24120|33340|14399|24130|52300|26191|26199|13410|26211|44130|43110|26219,143
2,Educación,Ciencias de la educación,Arte y Humanidades,3416,"Artes Visuales, Plásticas Y Del Patrimonio Cultural|Audiovisuales, Artes Escénicas Y Música|Literatura Y Artes Gráficas",3,51202|73220|34310|73991|73610|35211|35212|35213|35214|26511|26512|73999|35215|73230|73620|26521|26522|34331|34332|34333,73
3,Derecho y afines,Ciencias sociales y humanas,Administración de Empresas y Derecho,2067,"Administración, Finanzas Y Derecho|Comercio, Mercadeo Y Publicidad",2,52230|26120|34320|93210|24111|24112|33330|14391|24120|33340|14399|24130|52300|26191|26199|13410|26211|44130|43110|26219,143
4,"Ingeniería de sistemas, telemática y afines","Ingeniería, arquitectura, urbanismo y afines","Ciencias Naturales, Matemáticas y Estadística",2000,"Ciencias Naturales, Matemáticas Y Estadística|Conservación, Protección Y Saneamiento Ambiental",2,21120|96130|31111|31112|31113|31114|21141|21142|21143|31410|21430|32572|32573|21310|32574|21200|21331|21332|31321|31322,23
5,Contaduría pública,"Economía, administración, contaduría y afines",Administración de Empresas y Derecho,1245,"Administración, Finanzas Y Derecho|Comercio, Mercadeo Y Publicidad",2,52230|26120|34320|93210|24111|24112|33330|14391|24120|33340|14399|24130|52300|26191|26199|13410|26211|44130|43110|26219,143
6,Sin clasificar,Sin información,Salud y Bienestar,1239,Salud Y Bienestar,1,22401|22402|32130|22660|44162|32520|32141|22670|32142|32530|22300|32540|22691|22692|22693|32550|22699|53291|32301|32302,46
7,Medicina,Ciencias de la salud,Salud y Bienestar,1083,Salud Y Bienestar,1,22401|22402|32130|22660|44162|32520|32141|22670|32142|32530|22300|32540|22691|22692|22693|32550|22699|53291|32301|32302,46
8,Ingeniería industrial y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",908,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
9,"Ingeniería electrónica, telecomunicaciones y afines","Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",753,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
10,Diseño,Bellas artes,Arte y Humanidades,680,"Artes Visuales, Plásticas Y Del Patrimonio Cultural|Audiovisuales, Artes Escénicas Y Música|Literatura Y Artes Gráficas",3,51202|73220|34310|73991|73610|35211|35212|35213|35214|26511|26512|73999|35215|73230|73620|26521|26522|34331|34332|34333,73
