ocupacion_observatorio,ocupacion_cuoc_match_1,score_1,ocupacion_cuoc_match_2,score_2,confianza,requiere_revision
Supervisores de explotación forestal y silvicultura,SUPERVISOR DE EXPLOTACIÓN FORESTAL / SUPERVISORA DE EXPLOTACIÓN FORESTAL,0.872,DIRECTOR DE EXPLOTACIÓN FORESTAL / DIRECTORA DE EXPLOTACIÓN FORESTAL,0.776,ALTA,False
1226,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
Operadores de Máquinas Estacionarias y Equipo Auxiliar,LUBRICADOR DE MÁQUINAS ESTACIONARIAS / LUBRICADORA DE MÁQUINAS ESTACIONARIAS,0.836,OPERADOR DE MÁQUINA ESTACIONARIA Y EQUIPO AUXILIAR VAPOR Y CALDERA / OPERADORA DE MÁQUINA ESTACIONARIA Y EQUIPO AUXILIAR VAPOR Y CALDERA,0.729,ALTA,False
9391,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Administradores de explotación acuícola y jefes de laboratorio de cultivo o producción acuícola,ADMINISTRADOR DE EXPLOTACIÓN ACUÍCOLA / ADMINISTRADORA DE EXPLOTACIÓN ACUÍCOLA,0.886,ADMINISTRADOR O JEFE DE LABORATORIO ACUÍCOLA / ADMINISTRADORA O JEFA DE LABORATORIO ACUÍCOLA,0.859,ALTA,False
7319,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Aparejador,APAREJADOR / APAREJADORA,0.706,PAREJA DE BAILE,0.56,ALTA,False
9231,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
"Matemáticos, estadísticos y actuarios",ESTADÍSTICO MATEMÁTICO / ESTADÍSTICA MATEMÁTICA,0.61,GERENTE DE SERVICIOS ESTADÍSTICOS / GERENTA DE SERVICIOS ESTADÍSTICOS,0.6,MEDIA,False
"Directores y gerentes generales de salud, educación, servicio social, comunitario y organizaciones de membresía",VICEPRESIDENTE DE RECURSOS HUMANOS ENTIDADES DE SALUD EDUCACIÓN Y ORGANIZACIONES DE MEMBRESÍA / VICEPRESIDENTA DE RECURSOS HUMANOS ENTIDADES DE SALUD EDUCACIÓN Y ORGANIZACIONES DE MEMBRESÍA,0.839,DIRECTOR GENERAL DE ORGANIZACIÓN DE SERVICIO SOCIAL / DIRECTORA GENERAL DE ORGANIZACIÓN DE SERVICIO SOCIAL,0.838,ALTA,False
3235,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Directores de Planta de Procesamiento de Alimentos y Bebidas,AYUDANTE DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS,1.115,DIRECTOR DE PLANTA DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS / DIRECTORA DE PLANTA DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS,1.048,ALTA,False
"Operadores de Control Central de Procesos, Tratamiento de Metales y Minerales",OPERADOR DE CONTROL CENTRAL DE PROCESOS DE TRATAMIENTO DE METALES / OPERADORA DE CONTROL CENTRAL DE PROCESOS DE TRATAMIENTO DE METALES,1.17,OPERADOR DE CONTROL CENTRAL TRATAMIENTO DE METALES / OPERADORA DE CONTROL CENTRAL TRATAMIENTO DE METALES,1.048,ALTA,False
